,Combined,Set1,Set2,,,,,,,,,,,
consinSimilarity,0.700016649,0.665138987,0.658314845,,,,,,,,,,,
googleSimilarity,0.140247016,0.268630561,0.04013975,,,,,,,,,,,
pathSimilarity,0.299440209,0.326779071,0.241554121,,,,,,,,,,,
WPSimilarity,0.25897806,0.246995375,0.212842164,,,,,,,,,,,
LCSimilarity,0.301191532,0.330724598,0.240651359,,,,,,,,,,,
JCSimilarity,0.283353797,0.364555329,0.158689775,,,,,,,,,,,
ResinkSimilarity,0.33087501,0.376714224,0.234239314,,,,,,,,,,,
LinSimilarity,0.298189066,0.358463143,0.196707109,,,,,,,,,,,
SVM,,0.197235324,0.028475586,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Set1,,,,,,,,,,,,,
consinSimilarity,0.665138987,,,,,,,,,,,,,
googleSimilarity,0.268630561,,,,,,,,,,,,,
pathSimilarity,0.326779071,,,,,,,,,,,,,
WPSimilarity,0.246995375,,,,,,,,,,,,,
LCSimilarity,0.330724598,,,,,,,,,,,,,
JCSimilarity,0.364555329,,,,,,,,,,,,,
ResinkSimilarity,0.376714224,,,,,,,,,,,,,
LinSimilarity,0.358463143,,,,,,,,,,,,,
SVM,0.197235324,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Set2,,,,,,,,,,,,,
consinSimilarity,0.658314845,,,,,,,,,,,,,
googleSimilarity,0.04013975,,,,,,,,,,,,,
pathSimilarity,0.241554121,,,,,,,,,,,,,
WPSimilarity,0.212842164,,,,,,,,,,,,,
LCSimilarity,0.240651359,,,,,,,,,,,,,
JCSimilarity,0.158689775,,,,,,,,,,,,,
ResinkSimilarity,0.234239314,,,,,,,,,,,,,
LinSimilarity,0.196707109,,,,,,,,,,,,,
SVM,0.028475586,,,,,,,,,Path-based,,,,3-GoogleNews
,,,,,,,,,,Wu-palmer-based,,,,4-GoogleSearch
,,,,,,,,,,LC-based,,,,1-Path-based
,,,,,,,,,,Resnik-based,,,,1-Wu-palmer-based
,,,,,,,,,,J&C-based,,,,1-LC-based
,,,,,,,,,,Lin-based,,,,2-J&C-based
,,,,,,,,,,3-GoogleNews,,,,2-Resnik-based
,,,,,,,,,,4-GoogleSearch,,,,2-Lin-based
,,,,,,,,,,5-SVM,,,,5-SVM
